129.68,0.0,-47.2
79.86,1.39,-29.07
69.49,2.43,-25.31
65.69,3.44,-23.94
64.68,4.52,-23.6
65.53,5.73,-23.94
66.35,6.97,-24.28
66.22,8.13,-24.28
67.0,9.42,-24.63
66.82,10.58,-24.63
67.56,11.91,-24.97
67.34,13.09,-24.97
67.1,14.26,-24.97
67.76,15.64,-25.31
67.47,16.82,-25.31
68.08,18.24,-25.65
67.75,19.43,-25.65
68.3,20.88,-25.99
67.92,22.07,-25.99
68.41,23.56,-26.34
68.88,25.07,-26.68
68.43,26.27,-26.68
68.83,27.81,-27.02
69.2,29.37,-27.36
68.68,30.58,-27.36
68.98,32.17,-27.7
68.41,33.37,-27.7
67.82,34.56,-27.7
67.21,35.73,-27.7
65.75,36.45,-27.36
60.22,34.77,-25.31
57.19,34.36,-24.28
55.78,34.86,-23.94
52.01,33.78,-22.57
45.96,31.0,-20.18
38.49,26.95,-17.1
44.85,32.59,-20.18
46.53,35.06,-21.21
55.54,43.39,-25.65
63.53,51.45,-29.76
66.23,55.57,-31.47
66.66,57.95,-32.15
67.74,60.99,-33.18
68.04,63.45,-33.86
67.6,65.28,-34.2
67.78,67.78,-34.89
67.89,70.3,-35.57
67.29,72.16,-35.91
67.28,74.72,-36.6
69.05,79.43,-38.31
68.25,81.34,-38.65
67.42,83.25,-38.99
73.47,94.04,-43.44
75.21,99.81,-45.49
75.12,103.39,-46.51
76.0,108.53,-48.22
76.19,112.96,-49.59
75.75,116.64,-50.62
73.7,117.94,-50.62
73.08,121.63,-51.65
71.89,124.51,-52.33
71.52,129.03,-53.7
70.59,132.75,-54.72
70.39,138.15,-56.43
73.32,150.34,-60.88
71.88,154.15,-61.91
70.33,157.96,-62.93
67.93,160.02,-63.27
65.12,161.18,-63.27
62.3,162.3,-63.27
59.46,163.36,-63.27
56.6,164.37,-63.27
54.01,166.23,-63.62
51.38,168.04,-63.96
48.69,169.82,-64.3
45.72,170.64,-64.3
42.97,172.33,-64.64
39.95,173.05,-64.64
36.93,173.72,-64.64
33.89,174.34,-64.64
30.84,174.9,-64.64
27.93,176.34,-64.98
24.85,176.8,-64.98
21.76,177.21,-64.98
18.76,178.5,-65.33
15.72,179.73,-65.67
12.52,179.04,-65.33
9.44,180.17,-65.67
6.3,180.31,-65.67
3.13,179.45,-65.33
0.0,179.48,-65.33
-3.12,178.51,-64.98
-6.23,178.43,-64.98
-9.34,178.3,-64.98
-12.45,178.11,-64.98
-15.56,177.86,-64.98
-18.56,176.63,-64.64
-21.53,175.35,-64.3
-24.46,174.01,-63.96
-26.9,169.85,-62.59
-26.27,148.99,-55.07
-28.69,147.59,-54.72
-31.26,147.07,-54.72
-33.82,146.5,-54.72
-36.37,145.88,-54.72
-38.91,145.23,-54.72
-41.7,145.43,-55.07
-44.23,144.68,-55.07
-46.75,143.89,-55.07
-49.56,143.94,-55.41
-52.39,143.93,-55.75
-55.23,143.87,-56.09
-58.43,144.63,-56.78
-61.32,144.45,-57.12
-64.21,144.22,-57.46
-67.51,144.78,-58.14
-71.26,146.11,-59.17
-76.79,150.71,-61.56
-82.94,155.98,-64.3
-84.74,152.87,-63.62
-85.04,147.3,-61.91
-87.12,144.99,-61.56
-88.14,141.05,-60.54
